sound_files,answer,first_time,second_time,third_time,fourth_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,15.25207832000001,None,space,0,2.65519760899997,15.25207832000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
Audio/874.0.wav,rshift,6.0,10.0,14.0,8.0,0,0,0,9,,,,,,,,19.188246339000102,None,19.177996688400206,None,23.185250622000012,None,23.19591256740025,None,27.188739295999994,None,27.19717265440024,None,31.188158164000015,None,rshift,1,2.173420675999978,32.181855641000084,None,31.198925704400175,None,35.37725200800003,None,35.38326745540021,None,,,,,,,,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
Audio/844.0.wav,lshift,2.0,6.0,10.0,7.0,0,1,1,4,,,,,,,,42.37443854500009,None,42.384985312400225,None,47.37615227800006,None,47.386486401400155,None,51.37787353300007,None,51.38767810640015,None,55.37802290800005,None,rshift,0,2.606963706999977,56.37231181200002,None,55.388926662400216,None,59.998876892,None,60.00706406540021,None,,,,,,,,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
Audio/838.0.wav,lshift,4.0,8.0,12.0,9.0,0,2,2,3,,,,,,,,69.999954989,None,70.00990713240017,None,77.0011557150001,None,77.01150126140024,None,81.0028093410001,None,81.01287886440016,None,85.00334817100008,None,rshift,0,2.9337874660000125,85.99748770100007,None,85.01418338040017,None,89.93938979300003,None,89.94906838540024,None,,,,,,,,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
Audio/856.0.wav,rshift,6.0,10.0,14.0,6.0,0,3,3,6,,,,,,,,99.94098931600001,None,99.95183274540025,None,106.94353196300005,None,106.95350298340023,None,110.94592997900008,None,110.95497714340016,None,114.94511142500005,None,rshift,1,1.1598944529999926,115.939383357,None,114.95618201440018,None,118.11425938100001,None,118.12324925040016,None,,,,,,,,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
Audio/868.0.wav,rshift,4.0,8.0,12.0,9.0,0,4,4,8,,,,,,,,125.11512608200007,None,125.12579946040026,None,132.11698601400008,None,132.1274319904002,None,136.1193792050001,None,136.12882211240017,None,140.11995712700002,None,rshift,1,1.3539580589999787,141.11331906100008,None,140.13006802340024,None,143.48760194200008,None,143.49726501040018,None,,,,,,,,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
Audio/832.0.wav,lshift,6.0,10.0,14.0,8.0,0,5,5,2,,,,,,,,154.4900914860001,None,154.50047612840015,None,161.49235478800006,None,161.50266285040018,None,165.49300718900008,None,165.50389513740018,None,169.49353208900004,None,lshift,1,1.1153334310000673,170.471939829,None,169.5045204924002,None,172.59640387600007,None,172.60569957940018,None,,,,,,,,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
Audio/850.0.wav,rshift,3.0,7.0,11.0,8.0,0,6,6,5,,,,,,,,182.59803047000003,None,182.60858980640026,None,185.5991201280001,None,185.60974600240016,None,189.599280625,None,189.61027782340025,None,193.60196157400003,None,lshift,0,2.7761775279999483,194.57910015100003,None,193.6115266154002,None,198.37044762200003,None,198.3797476094002,None,,,,,,,,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
Audio/820.0.wav,lshift,4.0,8.0,12.0,6.0,0,7,7,0,,,,,,,,207.3717795120001,None,207.38247867540022,None,210.37376691600002,None,210.38365313040018,None,214.3743778490001,None,214.3841998044002,None,218.374529004,None,rshift,0,1.4664395080000077,219.35287550200007,None,218.38556955740026,None,221.82799335200002,None,221.8365516244002,None,,,,,,,,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
Audio/826.0.wav,lshift,5.0,9.0,13.0,10.0,0,8,8,1,,,,,,,,229.8293553740001,None,229.83936214340022,None,235.8296038750001,None,235.84077449940017,None,239.83203263100006,None,239.84228711040024,None,243.83181459600007,None,lshift,1,1.281184359000008,244.810087577,None,243.84267265040026,None,247.10174126800007,None,247.11052081140022,None,,,,,,,,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
Audio/862.0.wav,rshift,5.0,9.0,13.0,10.0,0,9,9,7,,,,,,,,254.10241645600001,None,254.11222639940016,None,258.10273198900006,None,258.1136794934001,None,262.1060522370001,None,262.11493145040015,None,266.1060117720001,None,rshift,1,0.6476590019999549,267.09961082000007,None,266.1161889604002,None,268.75794335600006,None,268.7668795984001,None,,,,,,,,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
Audio/880.0.wav,rshift,4.0,8.0,12.0,6.0,0,10,10,10,,,,,,,,276.759167703,None,276.7692393914002,None,282.759717464,None,282.77089898940017,None,286.76239267200003,None,286.77215345540014,None,290.763747189,None,rshift,1,1.4785997890001,291.756678232,None,290.7739167684002,None,294.247636918,None,294.2572013114002,None,,,,,,,,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.2503155840001,None,space,0,7.073010917000033,303.2503155840001,None,1,001,2021_Dec_01_1844,Trial_Exp,2021.2.3,60.03874864811787,
